NOTE: these details will need to be formatted into our final PDF but I'm adding them
      here for everyone to see.

Average Response Time: (sum of all response_time/198) = (2896146.000 / 198) = 14627 seconds
Total time for program to run: 1960.222815 seconds


      history:
      count  task_image                              img_coordinates   depth  priority   enqueue_time   exec_time  response_time  deadline    missed
      112    ../dataset/frame_camera_111.png       (0,0), (1920,1280)   0.000         0          11100         246   16452.000       100         1
      113    ../dataset/frame_camera_112.png       (0,0), (1920,1280)   0.000         0          11200         246   16598.000       100         1
      114    ../dataset/frame_camera_113.png       (0,0), (1920,1280)   0.000         0          11300         246   16744.000       100         1
      115    ../dataset/frame_camera_114.png       (0,0), (1920,1280)   0.000         0          11400         246   16890.000       100         1
      116    ../dataset/frame_camera_115.png       (0,0), (1920,1280)   0.000         0          11500         246   17036.000       100         1
      117    ../dataset/frame_camera_116.png       (0,0), (1920,1280)   0.000         0          11600         246   17182.000       100         1
      118    ../dataset/frame_camera_117.png       (0,0), (1920,1280)   0.000         0          11700         246   17328.000       100         1
      119    ../dataset/frame_camera_118.png       (0,0), (1920,1280)   0.000         0          11800         246   17474.000       100         1
      120    ../dataset/frame_camera_119.png       (0,0), (1920,1280)   0.000         0          11900         246   17620.000       100         1
      121    ../dataset/frame_camera_120.png       (0,0), (1920,1280)   0.000         0          12000         246   17766.000       100         1
      122    ../dataset/frame_camera_121.png       (0,0), (1920,1280)   0.000         0          12100         246   17912.000       100         1
      123    ../dataset/frame_camera_122.png       (0,0), (1920,1280)   0.000         0          12200         246   18058.000       100         1
      124    ../dataset/frame_camera_123.png       (0,0), (1920,1280)   0.000         0          12300         246   18204.000       100         1
      125    ../dataset/frame_camera_124.png       (0,0), (1920,1280)   0.000         0          12400         246   18350.000       100         1
      126    ../dataset/frame_camera_125.png       (0,0), (1920,1280)   0.000         0          12500         246   18496.000       100         1
      127    ../dataset/frame_camera_126.png       (0,0), (1920,1280)   0.000         0          12600         246   18642.000       100         1
      128    ../dataset/frame_camera_127.png       (0,0), (1920,1280)   0.000         0          12700         246   18788.000       100         1
      129    ../dataset/frame_camera_128.png       (0,0), (1920,1280)   0.000         0          12800         246   18934.000       100         1
      130    ../dataset/frame_camera_129.png       (0,0), (1920,1280)   0.000         0          12900         246   19080.000       100         1
      131    ../dataset/frame_camera_130.png       (0,0), (1920,1280)   0.000         0          13000         246   19226.000       100         1
      132    ../dataset/frame_camera_131.png       (0,0), (1920,1280)   0.000         0          13100         246   19372.000       100         1
      133    ../dataset/frame_camera_132.png       (0,0), (1920,1280)   0.000         0          13200         246   19518.000       100         1
      134    ../dataset/frame_camera_133.png       (0,0), (1920,1280)   0.000         0          13300         246   19664.000       100         1
      135    ../dataset/frame_camera_134.png       (0,0), (1920,1280)   0.000         0          13400         246   19810.000       100         1
      136    ../dataset/frame_camera_135.png       (0,0), (1920,1280)   0.000         0          13500         246   19956.000       100         1
      137    ../dataset/frame_camera_136.png       (0,0), (1920,1280)   0.000         0          13600         246   20102.000       100         1
      138    ../dataset/frame_camera_137.png       (0,0), (1920,1280)   0.000         0          13700         246   20248.000       100         1
      139    ../dataset/frame_camera_138.png       (0,0), (1920,1280)   0.000         0          13800         246   20394.000       100         1
      140    ../dataset/frame_camera_139.png       (0,0), (1920,1280)   0.000         0          13900         246   20540.000       100         1
      141    ../dataset/frame_camera_140.png       (0,0), (1920,1280)   0.000         0          14000         246   20686.000       100         1
      142    ../dataset/frame_camera_141.png       (0,0), (1920,1280)   0.000         0          14100         246   20832.000       100         1
      143    ../dataset/frame_camera_142.png       (0,0), (1920,1280)   0.000         0          14200         246   20978.000       100         1
      144    ../dataset/frame_camera_143.png       (0,0), (1920,1280)   0.000         0          14300         246   21124.000       100         1
      145    ../dataset/frame_camera_144.png       (0,0), (1920,1280)   0.000         0          14400         246   21270.000       100         1
      146    ../dataset/frame_camera_145.png       (0,0), (1920,1280)   0.000         0          14500         246   21416.000       100         1
      147    ../dataset/frame_camera_146.png       (0,0), (1920,1280)   0.000         0          14600         246   21562.000       100         1
      148    ../dataset/frame_camera_147.png       (0,0), (1920,1280)   0.000         0          14700         246   21708.000       100         1
      149    ../dataset/frame_camera_148.png       (0,0), (1920,1280)   0.000         0          14800         246   21854.000       100         1
      150    ../dataset/frame_camera_149.png       (0,0), (1920,1280)   0.000         0          14900         246   22000.000       100         1
      151    ../dataset/frame_camera_150.png       (0,0), (1920,1280)   0.000         0          15000         246   22146.000       100         1
      152    ../dataset/frame_camera_151.png       (0,0), (1920,1280)   0.000         0          15100         246   22292.000       100         1
      153    ../dataset/frame_camera_152.png       (0,0), (1920,1280)   0.000         0          15200         246   22438.000       100         1
      154    ../dataset/frame_camera_153.png       (0,0), (1920,1280)   0.000         0          15300         246   22584.000       100         1
      155    ../dataset/frame_camera_154.png       (0,0), (1920,1280)   0.000         0          15400         246   22730.000       100         1
      156    ../dataset/frame_camera_155.png       (0,0), (1920,1280)   0.000         0          15500         246   22876.000       100         1
      157    ../dataset/frame_camera_156.png       (0,0), (1920,1280)   0.000         0          15600         246   23022.000       100         1
      158    ../dataset/frame_camera_157.png       (0,0), (1920,1280)   0.000         0          15700         246   23168.000       100         1
      159    ../dataset/frame_camera_158.png       (0,0), (1920,1280)   0.000         0          15800         246   23314.000       100         1
      160    ../dataset/frame_camera_159.png       (0,0), (1920,1280)   0.000         0          15900         246   23460.000       100         1
      161    ../dataset/frame_camera_160.png       (0,0), (1920,1280)   0.000         0          16000         246   23606.000       100         1
      162    ../dataset/frame_camera_161.png       (0,0), (1920,1280)   0.000         0          16100         246   23752.000       100         1
      163    ../dataset/frame_camera_162.png       (0,0), (1920,1280)   0.000         0          16200         246   23898.000       100         1
      164    ../dataset/frame_camera_163.png       (0,0), (1920,1280)   0.000         0          16300         246   24044.000       100         1
      165    ../dataset/frame_camera_164.png       (0,0), (1920,1280)   0.000         0          16400         246   24190.000       100         1
      166    ../dataset/frame_camera_165.png       (0,0), (1920,1280)   0.000         0          16500         246   24336.000       100         1
      167    ../dataset/frame_camera_166.png       (0,0), (1920,1280)   0.000         0          16600         246   24482.000       100         1
      168    ../dataset/frame_camera_167.png       (0,0), (1920,1280)   0.000         0          16700         246   24628.000       100         1
      169    ../dataset/frame_camera_168.png       (0,0), (1920,1280)   0.000         0          16800         246   24774.000       100         1
      170    ../dataset/frame_camera_169.png       (0,0), (1920,1280)   0.000         0          16900         246   24920.000       100         1
      171    ../dataset/frame_camera_170.png       (0,0), (1920,1280)   0.000         0          17000         246   25066.000       100         1
      172    ../dataset/frame_camera_171.png       (0,0), (1920,1280)   0.000         0          17100         246   25212.000       100         1
      173    ../dataset/frame_camera_172.png       (0,0), (1920,1280)   0.000         0          17200         246   25358.000       100         1
      174    ../dataset/frame_camera_173.png       (0,0), (1920,1280)   0.000         0          17300         246   25504.000       100         1
      175    ../dataset/frame_camera_174.png       (0,0), (1920,1280)   0.000         0          17400         246   25650.000       100         1
      176    ../dataset/frame_camera_175.png       (0,0), (1920,1280)   0.000         0          17500         246   25796.000       100         1
      177    ../dataset/frame_camera_176.png       (0,0), (1920,1280)   0.000         0          17600         246   25942.000       100         1
      178    ../dataset/frame_camera_177.png       (0,0), (1920,1280)   0.000         0          17700         246   26088.000       100         1
      179    ../dataset/frame_camera_178.png       (0,0), (1920,1280)   0.000         0          17800         246   26234.000       100         1
      180    ../dataset/frame_camera_179.png       (0,0), (1920,1280)   0.000         0          17900         246   26380.000       100         1
      181    ../dataset/frame_camera_180.png       (0,0), (1920,1280)   0.000         0          18000         246   26526.000       100         1
      182    ../dataset/frame_camera_181.png       (0,0), (1920,1280)   0.000         0          18100         246   26672.000       100         1
      183    ../dataset/frame_camera_182.png       (0,0), (1920,1280)   0.000         0          18200         246   26818.000       100         1
      184    ../dataset/frame_camera_183.png       (0,0), (1920,1280)   0.000         0          18300         246   26964.000       100         1
      185    ../dataset/frame_camera_184.png       (0,0), (1920,1280)   0.000         0          18400         246   27110.000       100         1
      186    ../dataset/frame_camera_185.png       (0,0), (1920,1280)   0.000         0          18500         246   27256.000       100         1
      187    ../dataset/frame_camera_186.png       (0,0), (1920,1280)   0.000         0          18600         246   27402.000       100         1
      188    ../dataset/frame_camera_187.png       (0,0), (1920,1280)   0.000         0          18700         246   27548.000       100         1
      189    ../dataset/frame_camera_188.png       (0,0), (1920,1280)   0.000         0          18800         246   27694.000       100         1
      190    ../dataset/frame_camera_189.png       (0,0), (1920,1280)   0.000         0          18900         246   27840.000       100         1
      191    ../dataset/frame_camera_190.png       (0,0), (1920,1280)   0.000         0          19000         246   27986.000       100         1
      192    ../dataset/frame_camera_191.png       (0,0), (1920,1280)   0.000         0          19100         246   28132.000       100         1
      193    ../dataset/frame_camera_192.png       (0,0), (1920,1280)   0.000         0          19200         246   28278.000       100         1
      194    ../dataset/frame_camera_193.png       (0,0), (1920,1280)   0.000         0          19300         246   28424.000       100         1
      195    ../dataset/frame_camera_194.png       (0,0), (1920,1280)   0.000         0          19400         246   28570.000       100         1
      196    ../dataset/frame_camera_195.png       (0,0), (1920,1280)   0.000         0          19500         246   28716.000       100         1
      197    ../dataset/frame_camera_196.png       (0,0), (1920,1280)   0.000         0          19600         246   28862.000       100         1
      198    ../dataset/frame_camera_197.png       (0,0), (1920,1280)   0.000         0          19700         246   29008.000       100         1
      ----------------------------------------------------------------------
      Elapsed time: 1960.222815 s


       response_time
          246.000
          392.000
          538.000
          684.000
          830.000
          976.000
         1122.000
         1268.000
         1414.000
         1560.000
         1706.000
         1852.000
         1998.000
         2144.000
         2290.000
         2436.000
         2582.000
         2728.000
         2874.000
         3020.000
         3166.000
         3312.000
         3458.000
         3604.000
         3750.000
         3896.000
         4042.000
         4188.000
         4334.000
         4480.000
         4626.000
         4772.000
         4918.000
         5064.000
         5210.000
         5356.000
         5502.000
         5648.000
         5794.000
         5940.000
         6086.000
         6232.000
         6378.000
         6524.000
         6670.000
         6816.000
         6962.000
         7108.000
         7254.000
         7400.000
         7546.000
         7692.000
         7838.000
         7984.000
         8130.000
         8276.000
         8422.000
         8568.000
         8714.000
         8860.000
         9006.000
         9152.000
         9298.000
         9444.000
         9590.000
         9736.000
         9882.000
        10028.000
        10174.000
        10320.000
        10466.000
        10612.000
        10758.000
        10904.000
        11050.000
        11196.000
        11342.000
        11488.000
        11634.000
        11780.000
        11926.000
        12072.000
        12218.000
        12364.000
        12510.000
        12656.000
        12802.000
        12948.000
        13094.000
        13240.000
        13386.000
        13532.000
        13678.000
        13824.000
        13970.000
        14116.000
        14262.000
        14408.000
        14554.000
        14700.000
         14846.000
         14992.000
         15138.000
         15284.000
         15430.000
         15576.000
         15722.000
         15868.000
         16014.000
         16160.000
         16306.000
         16452.000
         16598.000
         16744.000
         16890.000
         17036.000
         17182.000
         17328.000
         17474.000
         17620.000
         17766.000
         17912.000
         18058.000
         18204.000
         18350.000
         18496.000
         18642.000
         18788.000
         18934.000
         19080.000
         19226.000
         19372.000
         19518.000
         19664.000
         19810.000
         19956.000
         20102.000
         20248.000
         20394.000
         20540.000
         20686.000
         20832.000
         20978.000
         21124.000
         21270.000
         21416.000
         21562.000
         21708.000
         21854.000
         22000.000
         22146.000
         22292.000
         22438.000
         22584.000
         22730.000
         22876.000
         23022.000
         23168.000
         23314.000
         23460.000
         23606.000
         23752.000
         23898.000
         24044.000
         24190.000
         24336.000
         24482.000
         24628.000
         24774.000
         24920.000
         25066.000
         25212.000
         25358.000
         25504.000
         25650.000
         25796.000
         25942.000
         26088.000
         26234.000
         26380.000
         26526.000
         26672.000
         26818.000
         26964.000
         27110.000
         27256.000
         27402.000
         27548.000
         27694.000
         27840.000
         27986.000
         28132.000
         28278.000
         28424.000
         28570.000
         28716.000
         28862.000
         29008.000
        +_________
         2896146.000 / 198 = 14627 seconds
